Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Fiyat,Şehir,Binanın_Kat_Sayısı,Yatırıma_Uygunluk,Takas,Banyo_Sayısı,Oda_Buyuklugu,Banyo_Orani,Isıtma_Tipi_Doğalgaz Sobalı,Isıtma_Tipi_Güneş Enerjisi,Isıtma_Tipi_Isıtma Yok,Isıtma_Tipi_Jeotermal,Isıtma_Tipi_Kat Kaloriferi,Isıtma_Tipi_Klimalı,Isıtma_Tipi_Kombi Doğalgaz,Isıtma_Tipi_Merkezi (Pay Ölçer),Isıtma_Tipi_Merkezi Doğalgaz,Isıtma_Tipi_Merkezi Kömür,Isıtma_Tipi_Sobalı,Isıtma_Tipi_Yerden Isıtma,Isıtma_Tipi_Bilinmiyor,Kullanım_Durumu_Kiracı Oturuyor,Kullanım_Durumu_Mülk Sahibi Oturuyor,Kullanım_Durumu_Bilinmiyor,Tapu_Durumu_Bilinmiyor,Tapu_Durumu_Hisseli Tapu,Tapu_Durumu_Kat Mülkiyeti,Tapu_Durumu_Kat İrtifakı,Tapu_Durumu_Müstakil Tapulu,Tapu_Durumu_nan
140,150.0,4.0,6.0,1,21.0,2390000.0,adana,8,1,1,1.0,35.0,0.25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
195,200.0,5.0,,0,7.5,4100000.0,adana,2,0,1,1.0,39.0,0.2,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
110,130.0,4.0,17.0,1,3.0,3800000.0,adana,3,1,1,2.0,27.5,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
130,140.0,4.0,4.0,0,7.5,2300000.0,adana,4,0,0,2.0,32.5,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
70,80.0,3.0,2.0,0,18.0,1185000.0,adana,12,1,0,1.0,23.333333333333332,0.3333333333333333,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
200,250.0,6.0,9.0,1,0.0,5498000.0,adana,15,0,0,2.0,33.333333333333336,0.3333333333333333,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
110,160.0,4.0,5.0,0,21.0,1995000.0,adana,7,0,2,1.0,27.5,0.25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
80,90.0,3.0,0.0,1,2.0,1295000.0,adana,10,0,2,1.0,26.666666666666668,0.3333333333333333,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
200,280.0,6.0,,1,18.0,6250000.0,adana,3,1,0,3.0,33.333333333333336,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
110,125.0,4.0,4.0,0,4.0,1600000.0,adana,11,0,0,2.0,27.5,0.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
280,300.0,6.0,16.0,0,4.0,13000000.0,adana,3,0,2,2.0,46.666666666666664,0.3333333333333333,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
115,130.0,3.0,1.0,1,7.5,2250000.0,adana,5,1,2,1.0,38.333333333333336,0.3333333333333333,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
105,160.0,4.0,7.0,1,4.0,1850000.0,adana,13,1,2,2.0,26.25,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
110,130.0,4.0,11.0,1,4.0,1650000.0,adana,13,0,2,2.0,27.5,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
85,90.0,4.0,2.0,0,21.0,1665000.0,adana,12,1,2,1.0,21.25,0.25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
130,140.0,3.0,,1,18.0,1800000.0,adana,1,1,2,1.0,43.333333333333336,0.3333333333333333,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
95,125.0,3.0,5.0,1,3.0,1340000.0,adana,5,0,2,2.0,31.666666666666668,0.6666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
150,250.0,4.0,,1,4.0,9750000.0,adana,3,1,1,2.0,37.5,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
147,150.0,4.0,1.0,1,4.0,2500000.0,adana,5,1,2,2.0,36.75,0.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
80,110.0,3.0,3.0,1,4.0,1180000.0,adana,12,0,2,2.0,26.666666666666668,0.6666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
140,150.0,4.0,1.0,1,0.0,2500000.0,adana,5,1,2,3.0,35.0,0.75,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
145,150.0,4.0,4.0,1,7.5,2500000.0,adana,5,0,2,1.0,36.25,0.25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
110,120.0,3.0,,2,21.0,2200000.0,adana,2,1,2,2.0,36.666666666666664,0.6666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
130,140.0,3.0,1.0,1,7.5,2500000.0,adana,6,1,2,1.0,43.333333333333336,0.3333333333333333,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
100,120.0,3.0,2.0,0,0.0,2390000.0,adana,5,0,0,1.0,33.333333333333336,0.3333333333333333,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
45,100.0,2.0,0.0,1,0.0,1500000.0,adana,2,0,1,1.0,22.5,0.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
85,125.0,3.0,4.0,1,4.0,1760000.0,adana,10,1,1,2.0,28.333333333333332,0.6666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
100,110.0,3.0,,0,21.0,2900000.0,adana,2,0,0,1.0,33.333333333333336,0.3333333333333333,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
100,120.0,3.0,6.0,1,0.0,2485000.0,adana,10,1,2,1.0,33.333333333333336,0.3333333333333333,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
80,90.0,3.0,1.0,1,0.0,2450000.0,adana,8,0,2,1.0,26.666666666666668,0.3333333333333333,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
